data,data_more_info,nome,genero,endereco-arrumado,lat,long,tombado,link,iphan,fonte,tipo,materia,condeph,conpres,autor,endereco-original
1959,1959,Baden Powell,homem,Praça da República,-23.54292,-46.64341,N,não consta,não consta,DPH/SMC,Busto,bronze e granito,não consta,não consta,"LAROCCA, Vicente",Praça da República
1930,1930,Caetano de Campos,homem,Praça da República,-23.54292,-46.64341,N,não consta,não consta,DPH/SMC,Herma,bronze e granito,não consta,não consta,"ZANI, Amadeo",Praça da República
1982,1982,Carolina Ribeiro,mulher,Praça da República,-23.54292,-46.64341,N,não consta,não consta,DPH/SMC,Herma,bronze e granilite,não consta,não consta,"MORRONE, Luiz",Praça da República
1909,1909,Cesário Mota,homem,Praça da República,-23.54292,-46.64341,N,não consta,não consta,DPH/SMC,Busto,bronze e granito,não consta,não consta,"ZANI, Amadeo",Praça da República
1969,1969,Doutor Luiz Lázaro Zamenhoff,homem,Praça da República,-23.54292,-46.64341,N,não consta,não consta,DPH/SMC,Herma,argamassa armada mármore e granito,não consta,não consta,"SAMPAIO M. E. GOMES, Fernando Martins",Praça da República
1956,1956,Martins Miragaia Dráusio e Camargo,homem,Praça da República,-23.54292,-46.64341,N,não consta,não consta,DPH/SMC,Marco,granito e concreto,não consta,não consta,desconhecido,Praça da República
1938,Entre 1938 - 1945,Mercúrio em Repouso,não figurativo,Praça da República,-23.54292,-46.64341,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,desconhecido,Praça da República
1938,Entre 1938 - 1945,Ninando a Boneca,mulher,Praça da República,-23.54292,-46.64341,N,não consta,não consta,DPH/SMC,Estátua,granito e bronze,não consta,não consta,"COLLUCINI, Lelio",Praça da República (interior da EMEI Armando de Arruda Pereira)
1979,,Abertura,não figurativo,Praça da Sé,-23.55068,-46.63412,S,"https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf
",não consta,DPH/SMC,Escultura Abstrata,aço corten,não consta,RES. 17/2007,"CASTRO, Amílcar de",Praça da Sé
1978,1978,Condor,não figurativo,Praça da Sé,-23.55068,-46.63412,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Escultura Abstrata,bronze,não consta,RES. 17/2007,"GIORGI, Bruno",Praça da Sé
